Feature,Importance
Affirmation,0.21037574302154508
Token_count,0.09464773883136725
social,0.08767305085047619
BrowUp,0.08466326220716285
OpenMouth,0.0685738091772715
LookDown,0.057093931791944275
Blink,0.05188776265372058
nltk_english_stopwords,0.050075810085581055
mouthDimpleRight,0.036087774165545906
relative,0.026037833075499485
Hello,0.024477210966611748
achievement,0.0234236529944875
VocalClarity,0.022693989380124954
Positive_Emotion,0.020604728507561742
JawLeft,0.02035469192091618
Pitch,0.01984193842526465
SquintPuffSneer,0.01960162461635153
future_tense,0.01928307022867362
VocalArticulation,0.016946220793686417
CompressedContortion,0.016677198839932638
Give_Agency,0.015184533197382057
mouthShrug,0.013794424268892788
Gratitude,0.0
First_Person_Single,0.0
Reasoning,0.0
Please,0.0
Negative_Emotion,0.0
Negation,0.0
First_Person_Plural,0.0
Let_Me_Know,0.0
For_Me,0.0
Informal_Title,0.0
Hedges,0.0
For_You,0.0
Formal_Title,0.0
Impersonal_Pronoun,0.0
Second_Person,0.0
Goodbye,0.0
Reassurance,0.0
discrepancies,0.0
Subjectivity,0.0
LookUp,0.0
mouthRoll,0.0
mouthRight,0.0
SneeringPucker,0.0
SkepticalRight,0.0
mouthDimpleLeft,0.0
mouthClose_openJaw,0.0
JawRight,0.0
EyesWide,0.0
BlinkRight,0.0
LookLeft,0.0
Swearing,0.0
LookRight,0.0
CheekPuffSneer,0.0
VocalIntensity,0.0
Disagreement,0.0
Adverb_Limiter,0.0
WH_Questions,0.0
YesNo_Questions,0.0
Bare_Command,0.0
Truth_Intensifier,0.0
Filler_Pause,0.0
By_The_Way,0.0
Could_You,0.0
religion,0.0
sadness,0.0
inhibition,0.0
sexual,0.0
past_tense,0.0
present_tense,0.0
humans,0.0
insight,0.0
positive_affect,0.0
quantifier,0.0
negative_affect,0.0
family,0.0
body,0.0
see,0.0
health,0.0
death,0.0
swear,0.0
negation,0.0
third_person,0.0
anxiety,0.0
adverbs,0.0
bio,0.0
inclusive,0.0
certainty,0.0
conjunction,0.0
home,0.0
indefinite_pronoun,0.0
work,0.0
Conjunction_Start,0.0
money,0.0
Can_You,0.0
hear,0.0
Ask_Agency,0.0
Apology,0.0
Agreement,0.0
Acknowledgement,0.0
hedge_words,0.0
first_person,0.0
positive_words,0.0
second_person,0.0
percept,0.0
first_person_plural,0.0
preposition,0.0
cognitive_mech,0.0
auxiliary_verbs,0.0
argue,0.0
article,0.0
friends,0.0
verbs,0.0
exclusive,0.0
tentativeness,0.0
feel,0.0
first_person_singular,0.0
anger,0.0
causation,0.0
Smile,0.0
