groupId,Task_Conflict,Relationship_Conflict,Cluster,Cluster_Label
01HYGGKFHG8BZ3KW7ZDR0KGC4N,6.75,3.5,1,High Conflict
01HYGGM69HQN5GHTMDC1D1M24W,5.0,3.0,1,High Conflict
01HYGGMT9R24HQ95866Y6BBDES,5.25,2.25,1,High Conflict
01HYGGNS7A8Y691JXB24RMZ83G,6.5,3.5,1,High Conflict
01HYGGNVDW9MXKDB9T4WG2GW8M,3.0,1.0,0,Low Conflict
01HYGGPM8PPG1XP0ZX8JQH9BHH,5.25,2.25,1,High Conflict
01HYGGPVVFQ5KKAYPXSWBQ5GX2,3.75,2.5,0,Low Conflict
01HYGGQ7PWKMP8E7DR30SQ7YQ0,5.75,4.0,1,High Conflict
01HYGGQDQ90NV6F5XQ253XWHK3,6.0,2.25,1,High Conflict
01HYGGQDQCG0Q9FK0NAQDNHQXK,4.0,4.0,1,High Conflict
01HYGGQH1YTD0YH3Q79X4HKEQH,6.0,3.25,1,High Conflict
01HYGGR7XVC5XVR3XY0DSB0E3M,5.25,2.0,0,Low Conflict
01HYGGRCD1ZM7HBVX3Q43FV4W8,5.5,1.0,0,Low Conflict
01HYGGS1A78516RKJ4KPTX2V2G,5.75,2.75,1,High Conflict
01HYGGS2EPNP03PM16W01GW0BF,6.0,2.75,1,High Conflict
01HYGGSB3DJRD4W92X3SB8HP63,5.75,2.0,1,High Conflict
01HYGGSE6XFAB6D8QFA71HA7V7,6.25,1.5,1,High Conflict
01HYGGSP9P0SGKY9K3N2TB7318,4.5,1.5,0,Low Conflict
01HYGGTM34608BCV88B31GP8HB,6.5,4.75,1,High Conflict
01HYGGTQZ3SV99VJ5TNVYQ0NND,5.75,1.0,0,Low Conflict
01HYGGTWRDB265ZDQV4ZTR126E,6.0,2.0,1,High Conflict
01HYGGVB28PAE5XWBJ653YDEE4,4.75,1.25,0,Low Conflict
01HYGGVKJA0AWRSV6CD03BJQ16,4.5,1.0,0,Low Conflict
01HYGGVY8GD17CNJ2W48J9ZP9P,5.5,2.25,1,High Conflict
01HYGGW27AVP5A10C5Y5PNR2HK,5.25,2.25,1,High Conflict
01HYGGW4PAY99NBQSF2CMSXASK,5.0,1.0,0,Low Conflict
01HYGGW54F83JNE2Q3WS58P8SG,5.0,1.5,0,Low Conflict
01HYGGWV0JJAK5SYDQDA8MQZR5,5.5,1.0,0,Low Conflict
01HYGGWWWXT6GQR844JZE15F3C,6.0,3.25,1,High Conflict
01HYGGX2DRTCTM89MAP0RA623F,4.5,2.75,1,High Conflict
01HYGGX86B72CB5H2KZBPE5ZXV,6.0,2.0,1,High Conflict
01HYGGX90QVABM7YXJDC9W4J66,5.0,1.0,0,Low Conflict
01HYGGY0F8SM6G9VYYQAC0HDVA,4.0,2.0,0,Low Conflict
01HYGGYW379NX4JTA4QZ6NR0VV,5.5,1.0,0,Low Conflict
01HYGGZG176MWMNGRMSEN48N5V,5.0,2.0,0,Low Conflict
01HYGGZRP0XHMZSESDCZQAQ837,3.75,1.25,0,Low Conflict
01HYGH0K4DE5X157NKB5BWZEMS,5.25,2.25,1,High Conflict
01HYGH0WGVRQKGNYBHC2PGEBBB,3.25,1.0,0,Low Conflict
01HYGH1M2NW4T4131JC50XQ553,6.0,2.75,1,High Conflict
01HYGH2DVHYAPJ9V8YN91C89Q6,5.75,3.0,1,High Conflict
01HYGH30V5H3VJ45GECZKJJESE,5.0,5.5,1,High Conflict
01HYGH3WJGAQ8XR9JJE3S5EFYJ,5.0,1.5,0,Low Conflict
01HYGHBBVM5BDXZX5BS6CJ9QDR,4.75,1.0,0,Low Conflict
01HYGHJYVA9ZD9YC05NH69KAN0,5.5,1.25,0,Low Conflict
01HYGHPR1SRR9SAH3M9EMCMS5M,4.25,2.5,0,Low Conflict
01HYGHRMVQY8M50Y0MB0Z0SDTF,6.0,2.25,1,High Conflict
01HYGJD241NRPK6P48Y1W3QQXC,4.25,3.0,1,High Conflict
